,value,numBigOnes,aveNumExprEvaluated,aveNumSolutions,aveSolveTimeSec
0,100,1,19347.9,252.6,0.20063562393188478
1,100,2,24427.6,595.7,0.23739912509918212
2,100,3,26451.6,336.7,0.2458117961883545
3,100,4,30004.7,549.2,0.30361266136169435
4,101,1,16670.4,114.0,0.173834228515625
5,101,2,22019.1,89.9,0.21409304141998292
6,101,3,26440.1,93.9,0.24843015670776367
7,101,4,28047.4,102.8,0.27048017978668215
8,102,1,13568.8,108.8,0.15330471992492675
9,102,2,22445.2,120.6,0.223610258102417
10,102,3,29070.9,108.1,0.2730072498321533
11,102,4,28968.3,176.6,0.2941057443618774
12,103,1,18477.7,121.1,0.20019543170928955
13,103,2,22338.5,104.9,0.23105263710021973
14,103,3,28445.5,104.3,0.2698540210723877
15,103,4,29919.8,87.5,0.2881069898605347
16,104,1,13324.1,115.8,0.14164564609527588
17,104,2,24978.1,121.3,0.23383710384368897
18,104,3,28923.1,89.9,0.2697122097015381
19,104,4,29972.3,103.4,0.2999223470687866
20,105,1,12957.6,114.8,0.1422497272491455
21,105,2,19795.1,98.6,0.19858901500701903
22,105,3,28407.3,132.8,0.2758331775665283
23,105,4,24689.0,114.6,0.2635838270187378
24,106,1,15742.7,109.7,0.1738523244857788
25,106,2,24162.3,109.3,0.2441021680831909
26,106,3,29579.2,133.7,0.293753981590271
27,106,4,28721.5,87.4,0.29370999336242676
28,107,1,18143.9,82.7,0.19402718544006348
29,107,2,27402.2,124.0,0.2617433309555054
30,107,3,28083.6,77.3,0.26981985569000244
31,107,4,28328.8,109.9,0.27432239055633545
32,108,1,17346.9,236.9,0.1855745792388916
33,108,2,21427.4,142.4,0.21980583667755127
34,108,3,29347.0,97.6,0.2810478925704956
35,108,4,27229.7,93.4,0.2748936414718628
36,109,1,16418.5,107.5,0.17707426548004152
37,109,2,24192.6,112.2,0.24687623977661133
38,109,3,29059.5,113.4,0.29201200008392336
39,109,4,28953.6,95.6,0.29100842475891114
40,110,1,15823.1,110.2,0.1793583393096924
41,110,2,24086.4,94.2,0.23608124256134033
42,110,3,26753.1,79.0,0.2666680335998535
43,110,4,29653.6,91.3,0.2855961322784424
44,111,1,18096.9,120.2,0.197202730178833
45,111,2,23490.7,88.1,0.2376798629760742
46,111,3,27703.6,66.7,0.269826865196228
47,111,4,29888.0,54.8,0.28373308181762696
48,112,1,15477.5,122.3,0.16333682537078859
49,112,2,23951.4,120.4,0.23421664237976075
50,112,3,30672.8,100.0,0.28033297061920165
51,112,4,27579.5,57.4,0.2613163948059082
52,113,1,12781.7,81.2,0.13706862926483154
53,113,2,21652.1,70.7,0.20916275978088378
54,113,3,30038.0,85.2,0.2851650476455688
55,113,4,29951.8,70.0,0.2850449800491333
56,114,1,15841.5,100.4,0.16863009929656983
57,114,2,18676.0,83.7,0.18281421661376954
58,114,3,30251.3,73.7,0.28162596225738523
59,114,4,29551.8,52.9,0.2816859006881714
60,115,1,17954.4,104.7,0.18236007690429687
61,115,2,25080.1,104.6,0.23425214290618895
62,115,3,26049.4,70.9,0.24677700996398927
63,115,4,26315.5,39.9,0.26307828426361085
64,116,1,17792.9,95.9,0.18423726558685302
65,116,2,26323.8,110.8,0.25394368171691895
66,116,3,29814.7,105.2,0.2782066583633423
67,116,4,29466.7,71.6,0.28554985523223875
68,117,1,17924.6,104.8,0.19321541786193847
69,117,2,24950.5,124.1,0.23984127044677733
70,117,3,25900.6,74.7,0.24147334098815917
71,117,4,29211.5,80.8,0.27817816734313966
72,118,1,17178.5,77.0,0.1701507568359375
73,118,2,24491.7,99.9,0.24291529655456542
74,118,3,27046.2,85.8,0.25449366569519044
75,118,4,26910.1,69.0,0.25823819637298584
76,119,1,14144.6,70.3,0.15053250789642333
77,119,2,22702.0,106.5,0.21845266819000245
78,119,3,26904.3,109.4,0.2585894107818604
79,119,4,28284.2,74.5,0.2720554113388062
80,120,1,15036.1,144.0,0.15893118381500243
81,120,2,22895.5,128.6,0.21387193202972413
82,120,3,30646.7,163.9,0.28750536441802976
83,120,4,31093.0,116.9,0.2890507936477661
84,121,1,16166.2,59.4,0.16336638927459718
85,121,2,26093.4,95.4,0.2538367509841919
86,121,3,29497.5,92.6,0.2735910892486572
87,121,4,27482.6,65.4,0.26638290882110593
88,122,1,18221.5,77.3,0.18653931617736816
89,122,2,22012.5,102.2,0.21426839828491212
90,122,3,27917.7,101.0,0.2643892765045166
91,122,4,29554.7,106.6,0.29039740562438965
92,123,1,15465.7,79.4,0.16162006855010985
93,123,2,23067.6,77.6,0.22556712627410888
94,123,3,28114.1,96.0,0.2625633955001831
95,123,4,29796.7,108.3,0.2851003408432007
96,124,1,18289.8,89.2,0.19069962501525878
97,124,2,24249.6,109.6,0.23577685356140138
98,124,3,26044.9,86.3,0.24557876586914062
99,124,4,26321.0,70.6,0.25641608238220215
100,125,1,15802.0,87.6,0.1626359224319458
101,125,2,24594.3,177.4,0.2378920078277588
102,125,3,29533.4,274.6,0.2769522190093994
103,125,4,28089.4,285.3,0.2684443712234497
104,126,1,14893.7,98.4,0.16023893356323243
105,126,2,22804.0,118.3,0.21817474365234374
106,126,3,29889.5,94.1,0.27973003387451173
107,126,4,27951.6,98.8,0.2677690744400024
108,127,1,16590.9,75.0,0.17100093364715577
109,127,2,23743.2,108.9,0.2224074125289917
110,127,3,25799.0,97.0,0.2469785451889038
111,127,4,28157.2,78.8,0.26787986755371096
112,128,1,15264.3,83.9,0.15882394313812256
113,128,2,21229.3,97.1,0.20670819282531738
114,128,3,26543.2,81.8,0.23958089351654052
115,128,4,27604.1,72.8,0.25476372241973877
116,129,1,15022.8,68.9,0.15162324905395508
117,129,2,22019.1,89.1,0.20893535614013672
118,129,3,27471.8,69.1,0.25745654106140137
119,129,4,26952.8,71.3,0.25778994560241697
120,130,1,17962.8,89.5,0.18517618179321288
121,130,2,24021.0,94.5,0.22377350330352783
122,130,3,29643.0,108.7,0.27604284286499026
123,130,4,28269.3,67.3,0.27285816669464114
124,131,1,14384.3,57.1,0.15123703479766845
125,131,2,28063.8,78.7,0.26267390251159667
126,131,3,30211.6,84.7,0.27895119190216067
127,131,4,29110.2,88.0,0.2778278112411499
128,132,1,17361.0,88.8,0.17870452404022216
129,132,2,27103.1,106.4,0.25490288734436034
130,132,3,28198.7,83.0,0.2607380151748657
131,132,4,27761.9,86.3,0.26856160163879395
132,133,1,15215.2,68.4,0.16318628787994385
133,133,2,23109.9,86.5,0.22339150905609131
134,133,3,29485.8,93.3,0.26973888874053953
135,133,4,28700.1,57.9,0.2782516241073608
136,134,1,15517.2,61.9,0.1565175771713257
137,134,2,23133.0,76.7,0.22137787342071533
138,134,3,28281.3,75.7,0.26690828800201416
139,134,4,29027.9,77.5,0.2797307014465332
140,135,1,13848.3,72.9,0.1448834180831909
141,135,2,23856.8,125.0,0.22855908870697023
142,135,3,27946.5,64.2,0.26222517490386965
143,135,4,27608.2,69.0,0.2607291221618652
144,136,1,15809.5,68.9,0.1669184684753418
145,136,2,24607.2,85.8,0.23362598419189454
146,136,3,24550.6,64.5,0.23148412704467775
147,136,4,27941.0,35.3,0.27279393672943114
148,137,1,17122.6,68.3,0.18099029064178468
149,137,2,22836.9,63.2,0.2129654884338379
150,137,3,30174.7,59.8,0.2794900417327881
151,137,4,30191.5,42.3,0.2803647041320801
152,138,1,17634.6,77.4,0.18238370418548583
153,138,2,21532.1,62.2,0.21029088497161866
154,138,3,25957.2,80.0,0.2468949317932129
155,138,4,30600.7,67.2,0.29211061000823973
156,139,1,16224.6,52.0,0.1694791555404663
157,139,2,24159.2,81.1,0.2344755172729492
158,139,3,25713.5,62.8,0.24385764598846435
159,139,4,30482.2,45.3,0.2913985252380371
160,140,1,14825.1,107.0,0.16748714447021484
161,140,2,22431.3,97.4,0.21721525192260743
162,140,3,28409.3,88.6,0.26629042625427246
163,140,4,26384.1,73.2,0.2544100284576416
164,141,1,14876.9,61.1,0.15539631843566895
165,141,2,20162.1,72.6,0.19900546073913575
166,141,3,28791.7,68.2,0.2752173900604248
167,141,4,27580.3,63.0,0.2647861480712891
168,142,1,16554.9,56.8,0.17310595512390137
169,142,2,22420.3,66.7,0.21988649368286134
170,142,3,25757.8,69.1,0.24985840320587158
171,142,4,27568.4,82.7,0.25892479419708253
172,143,1,18099.6,72.5,0.18361380100250244
173,143,2,23464.5,80.1,0.22707688808441162
174,143,3,23025.7,28.4,0.2253054141998291
175,143,4,27601.3,37.5,0.26351137161254884
176,144,1,17693.6,136.0,0.17928788661956788
177,144,2,22944.5,113.8,0.21723029613494874
178,144,3,30249.4,98.3,0.27747578620910646
179,144,4,27086.8,43.4,0.2583320617675781
180,145,1,18107.3,81.6,0.19249215126037597
181,145,2,22663.3,86.7,0.2165384292602539
182,145,3,27381.9,96.0,0.2560566425323486
183,145,4,26726.3,62.8,0.25709307193756104
184,146,1,14427.7,67.1,0.1494298219680786
185,146,2,25357.0,74.4,0.23282742500305176
186,146,3,26863.3,71.1,0.25175135135650634
187,146,4,28425.2,64.4,0.27194414138793943
188,147,1,17263.6,88.8,0.18357620239257813
189,147,2,20655.0,79.5,0.20326740741729737
190,147,3,23575.4,75.5,0.22360289096832275
191,147,4,28076.8,63.8,0.2708218336105347
192,148,1,17030.0,71.5,0.17674245834350585
193,148,2,22358.2,71.2,0.21844701766967772
194,148,3,25891.4,106.2,0.24214887619018555
195,148,4,29023.8,81.6,0.2777878999710083
196,149,1,16579.1,60.0,0.16964943408966066
197,149,2,28706.3,76.9,0.2627779483795166
198,149,3,29125.1,74.2,0.2692531108856201
199,149,4,28538.3,55.6,0.266905689239502
200,150,1,15485.7,133.0,0.15824787616729735
201,150,2,20265.5,205.4,0.1960815191268921
202,150,3,29276.4,300.2,0.26639251708984374
203,150,4,26080.5,448.1,0.2431384563446045
204,151,1,17516.7,62.6,0.17808852195739747
205,151,2,25833.5,89.8,0.24045705795288086
206,151,3,29458.7,65.8,0.2742074728012085
207,151,4,26596.7,51.2,0.24792091846466063
208,152,1,16643.6,77.6,0.1747274875640869
209,152,2,17547.4,43.1,0.16473658084869386
210,152,3,25351.4,85.0,0.23874213695526122
211,152,4,28659.4,75.0,0.27167692184448244
212,153,1,18545.9,100.9,0.19014275074005127
213,153,2,24554.8,76.4,0.22945177555084229
214,153,3,26265.1,69.5,0.23985397815704346
215,153,4,29471.6,97.8,0.2826636552810669
216,154,1,19499.8,68.8,0.19694435596466064
217,154,2,25956.0,100.4,0.25145664215087893
218,154,3,27325.3,71.0,0.26055862903594973
219,154,4,29347.9,70.7,0.2750619649887085
220,155,1,17032.2,58.8,0.17323901653289794
221,155,2,22614.8,80.6,0.2178490400314331
222,155,3,26930.1,84.3,0.24205451011657714
223,155,4,28467.8,25.6,0.26455957889556886
224,156,1,15557.6,56.8,0.16093623638153076
225,156,2,21749.4,82.9,0.2049462080001831
226,156,3,27657.0,77.2,0.25995850563049316
227,156,4,30241.5,62.3,0.2799630641937256
228,157,1,18036.4,52.3,0.18724212646484376
229,157,2,26395.8,62.1,0.24805591106414795
230,157,3,27365.1,61.5,0.2567577838897705
231,157,4,27806.0,43.5,0.2674602508544922
232,158,1,16847.9,64.7,0.17453935146331787
233,158,2,24209.9,55.3,0.22865142822265624
234,158,3,29768.4,80.8,0.2781626462936401
235,158,4,28712.4,63.5,0.2698607683181763
236,159,1,16329.9,56.6,0.1651371717453003
237,159,2,23592.7,66.3,0.22475054264068603
238,159,3,27048.3,53.1,0.2634897708892822
239,159,4,26398.9,75.6,0.2501220703125
